season,round,race_name,circuit_id,driver_id,driver_code,driver_name,constructor_name,grid,grid_position,qualifying_position,qualifying_time_s,position,position_text,laps,status,points,is_top10,will_dnf,circuit_type,driver_recent_dnf_rate,driver_dnf_any_last3,team_season_dnf_rate_to_date,driver_experience_races,constructor_recent_dnf_rate_10,circuit_prior_dnf_rate,driver_avg_grid_last5,constructor_avg_grid_last10,grid_vs_driver_avg_last5,grid_vs_constructor_avg_last10,back_grid_start,front_grid_start,practice_sessions_with_timed_laps,practice_timed_laps,practice_best_lap_sec,practice_median_lap_sec,practice_avg_gap_to_fastest_sec,practice_min_gap_to_fastest_sec,practice_total_laps,practice_deleted_laps,practice_yellow_lap_count,practice_red_flag_lap_count,practice_sc_or_vsc_lap_count,qualifying_timed_laps,qualifying_best_time_sec,qualifying_lap_best_sec,qualifying_lap_median_sec,qualifying_total_laps,qualifying_gap_to_pole_sec,qualifying_deleted_laps,qualifying_yellow_lap_count,qualifying_red_flag_lap_count,practice_sessions_available,qualifying_sessions_available,practice_completion_rate,has_qualifying_time,has_practice_time,n_stops,compound_sequence,stint_lengths,avg_stint_tyre_life,max_stint_tyre_life,pit_loss_total,pit_loss_mean,safety_car_periods,data_source_note
2019,1,Australian Grand Prix,albert_park,hulkenberg,HUL,Hülkenberg,Alpine,11,11.0,13.0,,7,7,57,+1 Lap,6.0,1,0,semi-street,0.0,0.0,0.0,0,0.0,0.1666666666666666,10.0,10.0,1.0,1.0,0,0,3,55,83.574,107.159,1.278333333333331,0.9740000000000038,63,0,9,1,1,6,82.54,82.54,100.281,10,2.054000000000002,0,1,0,3,1,1.0,1,1,1.0,SOFT,13,13.0,13.0,21.715,21.715,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,ricciardo,RIC,Ricciardo,Alpine,12,12.0,14.0,,19,R,28,Damage,0.0,0,1,semi-street,0.0,0.0,0.0,0,0.0,0.0769230769230769,10.0,11.0,2.0,1.0,0,0,3,51,83.644,96.4235,1.4939999999999998,1.0440000000000111,61,0,9,1,1,8,82.57,82.57,98.9005,12,2.083999999999989,0,1,0,3,1,1.0,1,1,1.0,SOFT,1,1.0,1.0,33.284,33.284,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,perez,PER,Pérez,Aston Martin,10,10.0,12.0,,13,13,57,+1 Lap,0.0,0,0,semi-street,0.0,0.0,0.0,0,0.0,0.0833333333333333,10.0,10.0,0.0,0.0,0,0,3,64,84.082,92.372,1.8299999999999983,1.789999999999992,73,0,9,1,1,10,82.532,82.532,93.245,15,2.0459999999999923,0,1,0,3,1,1.0,1,1,1.0,SOFT,16,16.0,16.0,20.726,20.726,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,stroll,STR,Stroll,Aston Martin,16,16.0,16.0,,9,9,57,+1 Lap,2.0,1,0,semi-street,0.0,0.0,0.0,0,0.0,0.1764705882352941,10.0,10.0,6.0,6.0,1,0,3,71,84.011,91.2325,1.7176666666666638,1.4110000000000014,80,0,9,1,1,4,83.017,83.017,92.738,6,2.530999999999992,0,1,0,3,1,1.0,1,1,1.0,MEDIUM,27,27.0,27.0,22.339,22.339,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,leclerc,LEC,Leclerc,Ferrari,5,5.0,5.0,,5,5,58,Finished,10.0,1,0,semi-street,0.0,0.0,0.0,0,0.0,0.1111111111111111,10.0,10.0,-5.0,-5.0,0,1,3,54,82.749,103.19,0.5616666666666674,0.073999999999998,65,0,9,1,1,12,81.442,81.442,95.563,17,0.9559999999999887,0,1,0,3,1,1.0,1,1,1.0,SOFT,31,31.0,31.0,21.765,21.765,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,vettel,VET,Vettel,Ferrari,3,3.0,3.0,,4,4,58,Finished,12.0,1,0,semi-street,0.0,0.0,0.0,0,0.0,0.1578947368421052,10.0,5.0,-7.0,-2.0,0,1,3,55,82.556,100.4325,0.3916666666666657,0.0379999999999967,65,0,9,1,1,11,81.19,81.19,104.584,16,0.7039999999999935,0,1,0,3,1,1.0,1,1,1.0,SOFT,17,17.0,17.0,24.215,24.215,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,grosjean,GRO,Grosjean,Haas,6,6.0,6.0,,18,R,29,Wheel,0.0,0,1,semi-street,0.0,0.0,0.0,0,0.0,0.0,10.0,10.0,-4.0,-4.0,0,0,3,62,83.112,89.7305,1.219666666666664,0.8199999999999932,72,0,9,1,1,11,81.826,81.826,105.091,17,1.3399999999999892,0,1,0,3,1,1.0,1,1,1.0,SOFT,18,18.0,18.0,30.141,30.141,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,kevin_magnussen,MAG,Magnussen,Haas,7,7.0,7.0,,6,6,58,Finished,8.0,1,0,semi-street,0.0,0.0,1.0,0,1.0,0.1,10.0,6.0,-3.0,1.0,0,0,3,55,83.334,89.97749999999999,1.255,1.0420000000000016,66,0,9,1,1,12,82.099,82.099,95.442,18,1.6129999999999995,0,1,0,3,1,1.0,1,1,1.0,SOFT,17,17.0,17.0,22.482,22.482,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,giovinazzi,GIO,Giovinazzi,Kick Sauber,14,14.0,10.0,,15,15,57,+1 Lap,0.0,0,0,semi-street,0.0,0.0,0.0,0,0.0,0.0,10.0,10.0,4.0,4.0,0,0,3,66,83.831,90.67,1.5996666666666688,1.5390000000000017,76,0,9,1,1,10,82.431,82.431,96.532,14,1.9449999999999927,0,1,0,3,1,1.0,1,1,1.0,MEDIUM,27,27.0,27.0,27.142,27.142,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
2019,1,Australian Grand Prix,albert_park,raikkonen,RAI,Räikkönen,Kick Sauber,9,9.0,9.0,,8,8,57,+1 Lap,4.0,1,0,semi-street,0.0,0.0,0.0,0,0.0,0.1333333333333333,10.0,14.0,-1.0,-5.0,0,0,3,66,83.572,89.3905,1.4330000000000025,0.9720000000000084,76,0,9,1,1,12,82.314,82.314,96.0975,17,1.8279999999999887,0,1,0,3,1,1.0,1,1,1.0,SOFT,15,15.0,15.0,23.029,23.029,1,Recovered Hito 1 race-level build from Certamen 2 pre-race features plus miniChallenge pit-stop strategy observations.
